Code postal,Localité,Sous-commune,Province,Langue
6600,BASTOGNE,Non,Luxembourg,FR_BE
3870,Batsheers,Oui,Limbourg,FR_BE
4651,Battice,Oui,Liège,FR_BE
7130,Battignies,Oui,Hainaut,FR_BE
7331,Baudour,Oui,Hainaut,FR_BE
7870,Bauffe,Oui,Hainaut,FR_BE
7604,Baugnies,Oui,Hainaut,FR_BE
1401,Baulers,Oui,Brabant Wallon,FR_BE
9520,Bavegem,Oui,Flandre-Orientale,FR_BE
8531,Bavikhove,Oui,Flandre-Occidentale,FR_BE
9150,Bazel,Oui,Flandre-Orientale,FR_BE
4052,Beaufays,Oui,Liège,FR_BE
6500,BEAUMONT,Non,Hainaut,FR_BE
5570,BEAURAING,Non,Namur,FR_BE
6980,Beausaint,Oui,Luxembourg,FR_BE
1320,BEAUVECHAIN,Non,Brabant Wallon,FR_BE
6594,Beauwelz,Oui,Hainaut,FR_BE
7532,Beclers,Oui,Hainaut,FR_BE
3960,Beek,Oui,Limbourg,FR_BE
9630,Beerlegem,Oui,Flandre-Orientale,FR_BE
8730,BEERNEM,Non,Flandre-Occidentale,FR_BE
2340,BEERSE,Non,Anvers,FR_BE
1650,BEERSEL,Non,Brabant Flamand,FR_BE
8600,Beerst,Oui,Flandre-Occidentale,FR_BE
1673,Beert,Oui,Brabant Flamand,FR_BE
9080,Beervelde,Oui,Flandre-Orientale,FR_BE
2580,Beerzel,Oui,Anvers,FR_BE
5000,Beez,Oui,Namur,FR_BE
6987,Beffe,Oui,Luxembourg,FR_BE
3130,BEGIJNENDIJK,Non,Brabant Flamand,FR_BE
6672,Beho,Oui,Luxembourg,FR_BE
1852,Beigem,Oui,Brabant Flamand,FR_BE
8480,Bekegem,Oui,Flandre-Occidentale,FR_BE
1730,Bekkerzeel,Oui,Brabant Flamand,FR_BE
3460,BEKKEVOORT,Non,Brabant Flamand,FR_BE
5001,Belgrade,Oui,Namur,FR_BE
4610,Bellaire,Oui,Liège,FR_BE
7170,Bellecourt,Oui,Hainaut,FR_BE
5555,Bellefontaine,Oui,Namur,FR_BE
6730,Bellefontaine,Oui,Luxembourg,FR_BE
8510,Bellegem,Oui,Flandre-Occidentale,FR_BE
9881,Bellem,Oui,Flandre-Orientale,FR_BE
6834,Bellevaux,Oui,Luxembourg,FR_BE
4960,Bellevaux-Ligneuville,Oui,Liège,FR_BE
1674,Bellingen,Oui,Brabant Flamand,FR_BE
7970,BELOEIL,Non,Hainaut,FR_BE
9111,Belsele,Oui,Flandre-Orientale,FR_BE
4500,Ben-Ahin,Oui,Liège,FR_BE
6941,Bende,Oui,Luxembourg,FR_BE
3540,Berbroek,Oui,Limbourg,FR_BE
2600,Berchem,Oui,Anvers,FR_BE
9690,Berchem,Oui,Flandre-Orientale,FR_BE
1082,BERCHEM-SAINTE-AGATHE,Non,Bruxelles (19 communes),FR_BE
2040,Berendrecht,Oui,Anvers,FR_BE
1910,Berg,Oui,Brabant Flamand,FR_BE
3700,Berg,Oui,Limbourg,FR_BE
4360,Bergilers,Oui,Liège,FR_BE
3580,BERINGEN,Non,Limbourg,FR_BE
2590,BERLAAR,Non,Anvers,FR_BE
